date,open,high,low,close,pct_change
2011-03-18,27174.4,27609.0,26796.6,27145.6,-0.008024790609971855
2011-03-21,26733.3,27133.9,26281.6,26620.3,-0.019351202404809587
2011-03-22,26218.1,26560.9,25692.4,26211.6,-0.015352944933002322
2011-03-23,26002.9,26577.4,25779.6,26370.8,0.006073646782340569
2011-03-24,26171.2,26589.0,25846.5,26151.9,-0.008300847907534048
2011-03-25,26400.1,27007.0,26177.1,26688.1,0.020503290391902684
2011-03-28,27389.5,27939.5,26930.8,27306.9,0.023186363959967204
2011-03-29,27690.3,28181.0,27010.0,27316.5,0.0003515594959515589
2011-03-30,27138.8,27644.7,26632.0,27059.7,-0.009400911536983081
2011-03-31,26718.5,27082.7,26095.7,26382.9,-0.025011363762347694
2011-04-01,25924.2,26491.8,25591.0,26271.0,-0.0042413836234834745
2011-04-06,26350.1,26976.7,25987.5,26580.8,0.011792470785276565
2011-04-07,26498.2,26977.0,26143.8,26657.7,0.0028930656714620806
2011-04-08,26557.3,27112.0,26318.9,26871.9,0.008035201836617656
2011-04-11,27248.1,27732.6,26750.2,27034.4,0.006047209166452738
2011-04-12,27010.6,27547.7,26602.1,27015.1,-0.0007139052466488272
2011-04-13,26741.3,27306.5,26385.2,27131.3,0.004301298162879386
2011-04-14,26994.1,27403.8,26588.0,26915.0,-0.00797234190768592
2011-04-15,26792.6,27262.8,26373.1,26901.1,-0.00051644064647971
2011-04-18,26874.5,27445.1,26519.5,27067.9,0.0062004899427905436
2011-04-19,27272.4,27684.8,26663.2,27034.4,-0.0012376283346694494
2011-04-20,26944.0,27459.1,26574.8,27009.8,-0.0009099517651585121
2011-04-21,27075.0,27575.7,26715.1,27176.6,0.0061755362868292085
2011-04-22,26941.0,27321.0,26475.2,26803.9,-0.013714003959288346
2011-04-25,26731.4,27016.9,25950.8,26218.5,-0.021840105357802453
2011-04-26,25643.0,25996.4,25078.3,25412.4,-0.030745465987756626
2011-04-27,25072.7,25440.9,24415.4,24755.0,-0.02586926067589057
2011-04-28,24533.8,24828.4,23619.0,23797.2,-0.03869117350030293
2011-04-29,23202.0,23761.2,22922.3,23589.4,-0.008732119745180067
2011-05-03,23103.3,23574.7,22748.9,23407.7,-0.007702612190221059
2011-05-04,23089.0,23394.7,22442.3,22697.5,-0.030340443529266015
2011-05-05,22118.5,22573.0,21843.8,22265.5,-0.019032933142416608
2011-05-06,21648.9,22231.4,21367.7,21953.0,-0.014035166513215458
2011-05-09,21635.8,22061.5,21434.3,21754.3,-0.009051154739671108
2011-05-10,21372.3,21733.4,21122.9,21545.6,-0.009593505651756207
2011-05-11,21286.8,21618.9,20979.5,21308.1,-0.01102313233328378
2011-05-12,20959.4,21355.4,20608.2,20808.9,-0.023427710588930784
2011-05-13,20670.2,21054.5,20339.0,20848.1,0.001883809331584052
2011-05-16,20535.2,20871.0,20246.7,20486.1,-0.01736369261467474
2011-05-17,20370.5,20773.7,19932.4,20322.3,-0.007995665353581205
2011-05-18,20012.1,20433.1,19823.5,20210.8,-0.00548658370361621
2011-05-19,19930.2,20224.6,19620.3,19811.7,-0.019746868011162322
2011-05-20,19498.2,19777.4,19226.9,19492.7,-0.016101596531342577
2011-05-23,19471.6,19647.6,18665.8,18812.8,-0.03487972420444585
2011-05-24,18468.2,18857.2,18109.9,18627.2,-0.009865623405340918
2011-05-25,18302.0,18614.1,17926.2,18152.3,-0.02549497509019072
2011-05-26,18039.4,18356.6,17647.1,17798.2,-0.019507169890316867
2011-05-27,17614.0,17832.4,17010.5,17188.2,-0.034273128743356085
2011-05-30,16778.5,17089.3,16393.2,16650.9,-0.031259817781966626
2011-05-31,16405.9,16870.1,16211.0,16765.7,0.006894522218018118
2011-06-01,16480.7,16830.3,16314.4,16662.9,-0.006131566233440799
2011-06-02,16386.6,16695.6,16033.4,16409.5,-0.015207436880735115
2011-06-03,16167.0,16604.5,16069.2,16430.9,0.0013041226119017146
2011-06-07,16175.2,16547.7,16035.7,16400.8,-0.0018319142591094462
2011-06-08,16317.9,16598.4,16041.1,16436.7,0.0021889176137750432
2011-06-09,16348.1,16583.3,15931.7,16038.8,-0.024208022291579256
2011-06-10,15867.2,16161.1,15545.2,15948.0,-0.005661271416814162
2011-06-13,15518.1,15829.4,15267.6,15654.1,-0.018428643090042662
2011-06-14,15697.8,16141.5,15583.3,15946.6,0.018685200682249326
2011-06-15,15833.7,16098.0,15606.7,15727.0,-0.013770960580938851
2011-06-16,15383.6,15586.2,15067.8,15211.4,-0.032784383544223306
2011-06-17,15004.9,15245.5,14671.6,14775.0,-0.028689009558620526
2011-06-20,14523.5,14743.1,14215.5,14451.1,-0.02192216582064299
2011-06-21,14377.2,14660.2,14171.3,14526.6,0.0052245157808055165
2011-06-22,14327.8,14538.9,14123.7,14312.5,-0.014738479754381695
2011-06-23,14339.7,14776.8,14154.5,14664.0,0.024558951965065523
2011-06-24,15433.3,16116.2,15332.2,15864.8,0.08188761593016913
2011-06-27,16317.1,16721.9,16177.0,16503.2,0.04024002823861639
2011-06-28,16649.2,16915.8,16402.6,16715.7,0.012876290658781375
2011-06-29,16994.1,17217.1,16665.7,16767.2,0.0030809358866215053
2011-06-30,16924.8,17406.7,16844.2,17202.3,0.025949472780189886
2011-07-01,17441.1,17759.3,17252.8,17475.4,0.015875784052132635
2011-07-04,18175.8,18711.5,18073.2,18549.8,0.061480710026665886
2011-07-05,18982.3,19319.9,18748.4,19092.0,0.02922942565418496
2011-07-06,19276.1,19580.9,18981.3,19366.5,0.014377749842866105
2011-07-07,19867.8,20269.6,19595.6,19802.9,0.022533756744894662
2011-07-08,19704.1,20006.1,19425.2,19717.4,-0.004317549449828095
2011-07-11,19584.6,19986.9,19382.8,19784.9,0.003423372249890866
2011-07-12,19730.1,20003.2,19371.2,19579.1,-0.01040187213481003
2011-07-13,19664.1,20203.6,19579.4,20059.8,0.02455169032284421
2011-07-14,20374.9,20753.4,20131.5,20496.2,0.021754952691452667
2011-07-15,20785.7,21218.2,20554.6,20967.8,0.023009143158243983
2011-07-18,21295.6,21646.4,20983.7,21260.0,0.013935653716651286
2011-07-19,21112.6,21381.8,20745.3,21019.2,-0.011326434619002734
2011-07-20,20926.5,21173.7,20525.0,20823.1,-0.009329565349775581
2011-07-21,20604.8,20824.7,20181.5,20341.5,-0.02312816055246325
2011-07-22,20050.6,20365.7,19844.4,20095.0,-0.01211808372047296
2011-07-25,20209.6,20412.3,19326.0,19518.0,-0.02871361035083353
2011-07-26,19109.7,19446.1,18835.6,19246.5,-0.013910236704580359
2011-07-27,19004.7,19530.8,18809.9,19376.5,0.006754474839581137
2011-07-28,19063.7,19402.2,18780.4,19156.9,-0.011333316130364035
