order_book_id,etf_name,turnover
516080.XSHG,创新药ETF易方达,103438867.0
560280.XSHG,工程机械ETF广发,97648752.0
159358.XSHE,中证A500ETF大成,72908558.97
159360.XSHE,A500ETF天弘,62670766.189
159351.XSHE,A500ETF嘉实,530397466.7
512010.XSHG,医药ETF易方达,618088158.0
512660.XSHG,军工ETF国泰,366118185.0
560610.XSHG,A500ETF招商,135927273.0
513200.XSHG,港股通医药ETF易方达,208571465.0
560510.XSHG,中证A500ETF泰康,54664042.0
560770.XSHG,机器人ETF招商,55811239.0
512290.XSHG,生物医药ETF国泰,98622631.0
563800.XSHG,A500ETF广发,675268834.0
159338.XSHE,中证A500ETF国泰,4774995393.998
512020.XSHG,A500ETF鹏华,72553389.0
159305.XSHE,储能电池ETF广发,101526957.496
159352.XSHE,A500ETF南方,3683248133.772
588830.XSHG,科创新能源ETF鹏华,118057838.0
563880.XSHG,A500ETF汇添富,129423756.0
159992.XSHE,创新药ETF银华,877371795.49
159892.XSHE,恒生医药ETF华夏,866213538.11
563360.XSHG,A500ETF华泰柏瑞,4307982435.0
510310.XSHG,沪深300ETF易方达,588466733.0
159593.XSHE,中证A50ETF平安,73390185.876
159353.XSHE,中证A500ETF景顺,182077205.664
159770.XSHE,机器人ETF天弘,233881699.0
159559.XSHE,机器人ETF景顺,105647765.456
563790.XSHG,卫星ETF鹏华,70599495.0
512050.XSHG,A500ETF华夏,2229664107.0
159622.XSHE,创新药ETF东财,74155940.654
159615.XSHE,恒生生物科技ETF南方,109387041.9
563220.XSHG,A500ETF富国,630078005.0
520970.XSHG,港股通创新药ETF嘉实,56154289.0
562500.XSHG,机器人ETF华夏,902964266.0
159361.XSHE,A500ETF易方达,1696126911.446
513120.XSHG,港股创新药ETF广发,4879926049.0
159362.XSHE,A500ETF工银,60482746.9
159388.XSHE,创业板人工智能ETF国泰,123926516.1
159356.XSHE,A500ETF万家,65927865.257
159218.XSHE,卫星ETF招商,163808808.9
513280.XSHG,恒生生物科技ETF汇添富,78798353.0
520700.XSHG,港股通创新药ETF万家,260656271.0
159840.XSHE,锂电池ETF工银,144885287.1
520690.XSHG,港股创新药ETF博时,118403430.0
159381.XSHE,创业板人工智能ETF华夏,497530964.51
159246.XSHE,创业板人工智能ETF富国,119330095.0
159903.XSHE,深成ETF南方,52898280.788
159105.XSHE,恒生生物科技ETF易方达,118634977.2
520880.XSHG,港股通创新药ETF华宝,545339478.0
513780.XSHG,港股创新药ETF景顺,405240836.0
159272.XSHE,机器人ETF富国,125446569.337
159279.XSHE,创业板人工智能ETF华安,53579366.455
512630.XSHG,卫星ETF广发,160726784.0
513930.XSHG,恒生生物科技ETF华泰柏瑞,65182081.0
159681.XSHE,创业板50ETF鹏华,120904186.4
513360.XSHG,教育ETF博时,65740155.0
563230.XSHG,卫星ETF富国,285948790.0
159526.XSHE,机器人ETF嘉实,64982186.7
563530.XSHG,卫星ETF易方达,119940329.0
159901.XSHE,深证100ETF易方达,397970395.52
560050.XSHG,中国A50ETF汇添富,65793265.0
159530.XSHE,机器人ETF易方达,882304796.767
159363.XSHE,创业板人工智能ETF华宝,1165277260.454
159382.XSHE,创业板人工智能ETF南方,143781425.3
159570.XSHE,港股通创新药ETF汇添富,3621057397.779
159242.XSHE,创业板人工智能ETF大成,89018510.2
159671.XSHE,稀有金属ETF工银,64688215.0
159278.XSHE,机器人ETF鹏华,96085991.428
515980.XSHG,人工智能ETF华富,475939114.0
562310.XSHG,沪深300成长ETF银华,73513381.0
159601.XSHE,A50ETF华夏,78785403.689
159316.XSHE,港股通创新药ETF易方达,966294790.662
159755.XSHE,电池ETF广发,665044663.264
159567.XSHE,港股创新药ETF银华,1347043710.692
159608.XSHE,稀有金属ETF广发,145848935.6
562800.XSHG,稀有金属ETF嘉实,234529917.0
159297.XSHE,港股通创新药ETF南方,203993210.281
159205.XSHE,创业板ETF东财,76218321.6
159286.XSHE,港股通创新药ETF鹏华,61612636.72
159506.XSHE,港股通创新药医疗ETF富国,515186002.5
159971.XSHE,创业板ETF富国,75697309.4
159952.XSHE,创业板ETF广发,509191782.732
159915.XSHE,创业板ETF易方达,5325031114.047
159908.XSHE,创业板ETF博时,103893893.3
159977.XSHE,创业板ETF天弘,146587922.2
159957.XSHE,创业板ETF华夏,181214401.117
159948.XSHE,创业板ETF南方,64982292.2
159217.XSHE,港股通创新药ETF工银,1010896195.0
513310.XSHG,中韩半导体ETF华泰柏瑞,13228414914.0
159949.XSHE,创业板50ETF华安,2768793367.395
159682.XSHE,创业板50ETF景顺,345140091.5
589720.XSHG,科创创新药ETF国泰,276530785.0
588760.XSHG,科创人工智能ETF广发,330134360.0
159373.XSHE,创业板50ETF嘉实,57960617.797
589120.XSHG,科创创新药ETF汇添富,50817958.0
159656.XSHE,沪深300成长ETF万家,55664062.2
159819.XSHE,人工智能ETF易方达,857383571.729
515070.XSHG,人工智能ETF华夏,275641245.0
588930.XSHG,科创人工智能ETF银华,74412641.0
588790.XSHG,科创AIETF博时,495450798.0
512930.XSHG,AI人工智能ETF平安,177518745.0
159807.XSHE,科技ETF易方达,61270076.614
520500.XSHG,恒生创新药ETF华泰柏瑞,1260338347.0
159906.XSHE,深成长ETF大成,56396761.3
589010.XSHG,科创人工智能ETF华夏,174281589.0
588730.XSHG,科创人工智能ETF易方达,133793319.0
159206.XSHE,卫星ETF永赢,1117605828.145
159141.XSHE,科创创业人工智能ETF永赢,142984003.313
560170.XSHG,央企科技ETF南方,58370447.0
588800.XSHG,科创100ETF华夏,331330208.0
588010.XSHG,科创新材料ETF博时,51990146.0
159139.XSHE,科创创业人工智能ETF华泰柏瑞,58215095.391
588240.XSHG,科创200ETF鹏华,60590320.0
159814.XSHE,创业大盘ETF西部利得,80729210.334
159732.XSHE,消费电子ETF华夏,491004026.714
